	ARL15	RARS	SLC30A5	UBE2D2	NDFIP1	NME5	CCNB1	MATR3
ARL15	1	3808.41	651.45	1029.51	3094.77	2891.74	7217.15	3794.73
RARS	3808.41	1	58.36	888.14	2512.45	6340.30	596.00	1265.99
SLC30A5	651.45	58.36	1	736.95	144.70	4785.22	1859.91	58.86
UBE2D2	1029.51	888.14	736.95	1	123.64	2089.84	2195.24	43.86
NDFIP1	3094.77	2512.45	144.70	123.64	1	880.23	6802.78	310.25
NME5	2891.74	6340.30	4785.22	2089.84	880.23	1	16431.21	2182.37
CCNB1	7217.15	596.00	1859.91	2195.24	6802.78	16431.21	1	4976.77
MATR3	3794.73	1265.99	58.86	43.86	310.25	2182.37	4976.77	1
