illum, gene, corpf
ILMN_1746302, FBXO11, -0.438
ILMN_1783905, LUZP4, -0.437
ILMN_1745570, KLK7, -0.437
ILMN_1775235, AFF3, -0.436
ILMN_1801521, ABCC6, -0.436
ILMN_1803384, ALX4, -0.436
ILMN_1758941, REEP5, -0.436
ILMN_1670547, GRM1, -0.436
ILMN_1776164, ZNF396, -0.435
ILMN_1738639, LRFN5, -0.435
ILMN_1661940, CAMTA1, -0.435
ILMN_1791206, ZNF490, -0.435
ILMN_1808157, RUNDC3B, -0.433
ILMN_1663894, HSDL1, -0.433
ILMN_1797534, RIOK1, -0.433
ILMN_1766496, NDUFV2, -0.433
ILMN_1794842, LGALS13, -0.433
ILMN_1728934, PRC1, -0.433
ILMN_1800697, LDB2, -0.433
ILMN_1729816, VDAC3, -0.432
ILMN_1771019, MTMR4, -0.432
ILMN_1682572, C2CD5, -0.432
ILMN_1807095, MRPS36, -0.432
ILMN_1660741, ATP2B3, -0.432
ILMN_1737523, PCDHGA1, -0.431
ILMN_1794875, GPAT3, -0.431
ILMN_1699623, FAM81A, -0.43
ILMN_1793651, UBE2N, -0.43
ILMN_1803464, PHTF1, -0.43
ILMN_1752915, GMFB, -0.43
ILMN_1751136, MAP1B, -0.43
ILMN_1659937, ZBTB24, -0.43
ILMN_1806306, SV2B, -0.429
ILMN_1779353, PUS7, -0.429
ILMN_1676342, CPEB2, -0.429
ILMN_1761026, RASSF3, -0.429
ILMN_1711174, SPRR1B, -0.428
ILMN_1804522, CCDC47, -0.428
ILMN_1669921, TEX14, -0.428
ILMN_1745884, LOC401410, -0.427
ILMN_1811029, TLK1, -0.427
ILMN_1681780, MKX, -0.427
ILMN_1698297, ATP1A1, -0.426
