Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-N7MS-0011-R3a-SM-33HC6_brain_male_60-69_years	31/2729	0.00000000000000279641491556944744670426628852864103540315217182044005284069498884491622447967529296875	0.000000000006023477728136589715792872726842429611203433292843101298785768449306488037109375	0.00000000000000004367348250891837874191265519830914913139722618117509467250414445516071282327175140380859375	0.0000000000000940726813242101823989870875467800544829539977076393597599235363304615020751953125	-1.6264523360995913	54.50313047040109	MYCBP2;UBE3A;SDAD1;CCDC28A;PPP2CA;NKRF;RUSC1;SH3BGRL2;NEFM;DENR;KIF21A;SH3GL2;SYT4;CADPS2;GABARAPL1;ELOVL4;MCF2;CADPS;NME5;SCAMP1;SMARCA2;LZTFL1;SNAP91;PJA2;PREPL;DNAJA2;ARHGEF3;MATR3;GRSF1;OPTN;RAB3GAP1
GTEX-WL46-0011-R10A-SM-3MJFQ_brain_male_50-59_years	30/2744	0.0000000000000324300570665321339217615963202411290584197857411741239275215775705873966217041015625	0.000000000034927171460655110297397367295066578953000036023013308295048773288726806640625	0.0000000000000006793472394535072291458612699295659935734171684836024684983613042277283966541290283203125	0.0000000000007316569768914272355988174930272664557573403243395659956149756908416748046875	-1.6245613843362394	50.45837414486902	MYCBP2;CCDC28A;PPP2CA;NKRF;RUSC1;SH3BGRL2;NEFM;DENR;KIF21A;SH3GL2;RAB11FIP5;SYT4;CADPS2;GABARAPL1;ELOVL4;MCF2;CADPS;NME5;SCAMP1;SMARCA2;LZTFL1;SNAP91;PJA2;PREPL;DNAJA2;ARHGEF3;MATR3;GRSF1;OPTN;RAB3GAP1
GTEX-QVJO-0011-R10A-SM-2S1QJ_brain_female_60-69_years	30/2814	0.00000000000006411971122301296325930055796750366855726345483024175564423785544931888580322265625	0.000000000044202003740462751137702415715418995632857157573880613199435174465179443359375	0.000000000000001360443250013540482905289431238707685000395900508374236181907690479420125484466552734375	0.00000000000074129100277753308845607194109165465783529980203780951342196203768253326416015625	-1.6472598436074823	50.04050000372458	MYCBP2;CCDC28A;PPP2CA;NKRF;RUSC1;SH3BGRL2;NEFM;DENR;KIF21A;SH3GL2;RAB11FIP5;SYT4;CADPS2;GABARAPL1;ELOVL4;MCF2;CADPS;NME5;SCAMP1;SMARCA2;LZTFL1;SNAP91;PJA2;PREPL;DNAJA2;ARHGEF3;MATR3;GRSF1;OPTN;RAB3GAP1
GTEX-WVLH-0011-R10A-SM-3MJFM_brain_male_50-59_years	31/3100	0.000000000000099881852356218971234154008483225944690420995686341854025158681906759738922119140625	0.000000000044202003740462751137702415715418995632857157573880613199435174465179443359375	0.000000000000001674033360286649269204197996696963019885794304690562750437266004155389964580535888671875	0.00000000000074129100277753308845607194109165465783529980203780951342196203768253326416015625	-1.6433247407268854	49.19257835961091	MYCBP2;UBE3A;CCDC28A;PPP2CA;RUSC1;NKRF;SH3BGRL2;NEFM;DENR;KIF21A;SH3GL2;RAB11FIP5;SYT4;CADPS2;GABARAPL1;ELOVL4;MCF2;CADPS;NME5;SCAMP1;SMARCA2;LZTFL1;SNAP91;PJA2;PREPL;DNAJA2;ARHGEF3;MATR3;GRSF1;OPTN;RAB3GAP1
GTEX-T6MN-0011-R10A-SM-32QP7_brain_male_50-59_years	31/3103	0.000000000000102604465507109448176353391461336294777765588970286358971861773170530796051025390625	0.000000000044202003740462751137702415715418995632857157573880613199435174465179443359375	0.000000000000001720731204218971928956135593745199825930643189840496543041581389843486249446868896484375	0.00000000000074129100277753308845607194109165465783529980203780951342196203768253326416015625	-1.618756342669495	48.41359462946757	MYCBP2;UBE3A;CCDC28A;PPP2CA;RUSC1;NKRF;SH3BGRL2;NEFM;DENR;KIF21A;VPS36;SH3GL2;RAB11FIP5;SYT4;CADPS2;GABARAPL1;ELOVL4;MCF2;CADPS;NME5;SCAMP1;SMARCA2;LZTFL1;SNAP91;PJA2;PREPL;DNAJA2;ARHGEF3;MATR3;GRSF1;RAB3GAP1
GTEX-X585-0011-R10A-SM-46MUY_brain_male_50-59_years	30/3116	0.00000000000098647817897482984319418688184314306208362588268556692128186114132404327392578125	0.000000000354145666251963950259371994902491374845876492827301262877881526947021484375	0.00000000000002222580537146837601961262928485939628910571762288039820987251005135476589202880859375	0.000000000006839197824306126061740560156532915962908358853411527888965792953968048095703125	-1.6632521390276656	45.97999861129754	MYCBP2;CCDC28A;PPP2CA;RUSC1;NKRF;SH3BGRL2;NEFM;DENR;KIF21A;SH3GL2;RAB11FIP5;SYT4;CADPS2;GABARAPL1;ELOVL4;MCF2;CADPS;NME5;SCAMP1;SMARCA2;LZTFL1;SNAP91;PJA2;PREPL;DNAJA2;ARHGEF3;MATR3;GRSF1;OPTN;RAB3GAP1
GTEX-QDT8-0011-R10A-SM-32PKG_brain_female_30-39_years	31/3393	0.00000000000120942965960747504449208992357143562976738715430968795772059820592403411865234375	0.00000000037215878382778586254701688667092564222205197665971354581415653228759765625	0.000000000000021602781437716438679401001827472151648325097983427411918455618433654308319091796875	0.000000000006839197824306126061740560156532915962908358853411527888965792953968048095703125	-1.5935203749250275	43.727588993286574	MYCBP2;UBE3A;SDAD1;CCDC28A;PPP2CA;NKRF;HSF2;SH3BGRL2;NEFM;DENR;KIF21A;VPS36;SH3GL2;SYT4;CADPS2;GABARAPL1;ELOVL4;MCF2;CADPS;NME5;SCAMP1;SMARCA2;LZTFL1;SNAP91;PJA2;PREPL;DNAJA2;ARHGEF3;MATR3;GRSF1;RAB3GAP1
GTEX-NL3H-0011-R10A-SM-2I3E9_brain_male_60-69_years	27/2684	0.00000000001160719572310937694271564555863088079312728240211072261445224285125732421875	0.000000002777988843064177712002774071485718121454766560418647713959217071533203125	0.000000000000516568150848295358436808101657811381594853639143138934741728007793426513671875	0.0000000001236319774363586993512612536501066480554289483961838413961231708526611328125	-1.6615849564535816	41.837705422047385	MYCBP2;CCDC28A;PPP2CA;NKRF;RUSC1;NEFM;KIF21A;SH3GL2;RAB11FIP5;SYT4;CADPS2;GABARAPL1;ELOVL4;MCF2;CADPS;NME5;SCAMP1;SMARCA2;LZTFL1;SNAP91;PJA2;PREPL;DNAJA2;ARHGEF3;MATR3;GRSF1;RAB3GAP1
GTEX-S7SE-0011-R10A-SM-2XCDF_brain_male_50-59_years	28/2843	0.00000000000602719405043352483812579446702619757891827845242005423642694950103759765625	0.0000000016228219980792266499070753904489412822176319650679943151772022247314453125	0.0000000000002177534390324100149802983657686116590710030671562691395592992193996906280517578125	0.00000000005863011345947639561205579768505690048396861158153114956803619861602783203125	-1.6168905567461427	41.77194640645679	MYCBP2;UBE3A;PPP2CA;NKRF;RUSC1;NEFM;DENR;KIF21A;SH3GL2;RAB11FIP5;SYT4;CADPS2;GABARAPL1;ELOVL4;MCF2;CADPS;NME5;SCAMP1;SMARCA2;LZTFL1;SNAP91;PJA2;PREPL;DNAJA2;ARHGEF3;MATR3;GRSF1;RAB3GAP1
GTEX-QVUS-0011-R3A-SM-3GAFD_brain_female_60-69_years	27/2759	0.000000000022287928581912650144407939266065770030078585506316812825389206409454345703125	0.00000000436438165140362239835247827363269579326043867695261724293231964111328125	0.0000000000010061758395113979848610261696601270099866998197768452882883138954639434814453125	0.0000000001970275234825046507651322273780365897100086414184261229820549488067626953125	-1.695438715237533	41.58398451402631	CCDC28A;PPP2CA;NKRF;SH3BGRL2;NEFM;DENR;KIF21A;SH3GL2;SYT4;CADPS2;GABARAPL1;ELOVL4;MCF2;CADPS;NME5;SCAMP1;SMARCA2;LZTFL1;SNAP91;PJA2;PREPL;DNAJA2;ARHGEF3;MATR3;GRSF1;OPTN;RAB3GAP1
